Metropolitan area name,2009,2013,Change?,Alternative?,Comments about the metropolitan area changed,Old name
"Durham-Chapel Hill, NC",20500,20500,Same,,No change.,
"Eau Claire, WI",20740,20740,Same,,No change.,
"El Centro, CA",20940,20940,Same,,No change.,
"Elizabethtown-Fort Knox, KY (updated name)",21060,21060,Same,,One new county.,"Elizabethtown, KY"
"Elkhart-Goshen, IN",21140,21140,Same,,No change.,
"Elmira, NY",21300,21300,Same,,No change.,
"El Paso, TX",21340,21340,Same,,No change.,
"Erie, PA",21500,21500,Same,,No change.,
"Eugene, OR (updated name)",21660,21660,Same,,No change.,"Eugene-Springfield, OR"
"Evansville, IN-KY",21780,21780,Same,,Two fewer original counties.,
"Fairbanks, AK",21820,21820,Same,,No change.,
"Fargo, ND-MN",22020,22020,Same,,No change.,
"Farmington, NM",22140,22140,Same,,No change.,
"Fayetteville, NC",22180,22180,Same,,No change.,
"Fayetteville-Springdale-Rogers, AR-MO",22220,22220,Same,,No change.,
"Flagstaff, AZ",22380,22380,Same,,No change.,
"Flint, MI",22420,22420,Same,,No change.,
"Florence, SC",22500,22500,Same,,No change.,
"Florence-Muscle Shoals, AL",22520,22520,Same,,No change.,
"Fond du Lac, WI",22540,22540,Same,,No change.,
"Fort Collins, CO (updated name)",22660,22660,Same,,No change.,"Fort Collins-Loveland, CO"
"Fort Smith, AR-OK",22900,22900,Same,,One fewer original county.,
"Fort Wayne, IN",23060,23060,Same,,No change.,
"Fresno, CA",23420,23420,Same,,No change.,
"Gadsden, AL",23460,23460,Same,,No change.,
"Gainesville, FL",23540,23540,Same,,No change.,
"Gainesville, GA",23580,23580,Same,,No change.,
"Glens Falls, NY",24020,24020,Same,,No change.,
"Goldsboro, NC",24140,24140,Same,,No change.,
"Grand Forks, ND-MN",24220,24220,Same,,No change.,
"Grand Junction, CO",24300,24300,Same,,No change.,
"Grand Rapids-Wyoming, MI",24340,24340,Same,,Two new counties and two fewer original counties.,
"Great Falls, MT",24500,24500,Same,,No change.,
"Greeley, CO",24540,24540,Same,,No change.,
"Green Bay, WI",24580,24580,Same,,No change.,
"Greensboro-High Point, NC",24660,24660,Same,,No change.,
"Greenville, NC",24780,24780,Same,,One fewer original county.,
"Greenville-Anderson-Mauldin, SC (updated name)",24860,24860,Same,,One fewer original county.,"Greenville-Mauldin-Easley, SC"
"Gulfport-Biloxi-Pascagoula, MS (updated name)",25060,25060,Same,,One new county and one fewer original county.,"Gulfport-Biloxi, MS"
"Hagerstown-Martinsburg, MD-WV",25180,25180,Same,,One fewer original counties.,
"Hanford-Corcoran, CA",25260,25260,Same,,No change.,
"Harrisburg-Carlisle, PA",25420,25420,Same,,No change.,
"Harrisonburg, VA",25500,25500,Same,,No change.,
"Hartford-West Hartford-East Hartford, CT",25540,25540,Same,,No change.,
"Hattiesburg, MS",25620,25620,Same,,No change.,
"Hickory-Lenoir-Morganton, NC",25860,25860,Same,,No change.,
"Hinesville, GA (updated name)",25980,25980,Same,,No change.,"Hinesville-Fort Stewart, GA"
"Hot Springs, AR",26300,26300,Same,,No change.,
"Houma-Thibodaux, LA (updated name)",26380,26380,Same,,No change.,"Houma-Bayou Cane-Thibodaux, LA"
"Houston-The Woodlands-Sugar Land, TX (updated name)",26420,26420,Same,,One fewer original county.,"Houston-Sugar Land-Baytown, TX"
"Huntington-Ashland, WV-KY-OH",26580,26580,Same,,Two new counties.,
"Huntsville, AL",26620,26620,Same,,No change.,
"Idaho Falls, ID",26820,26820,Same,,One new county.,
"Indianapolis-Carmel-Anderson, IN (updated name)",26900,26900,Same,,One new county.,"Indianapolis-Carmel, IN"
"Iowa City, IA",26980,26980,Same,,No change.,
"Ithaca, NY",27060,27060,Same,,No change.,
"Jackson, MI",27100,27100,Same,,No change.,
"Jackson, MS",27140,27140,Same,,One new county.,
"Jackson, TN",27180,27180,Same,,One new county.,
"Jacksonville, FL",27260,27260,Same,,No change.,
"Jacksonville, NC",27340,27340,Same,,No change.,
"Janesville-Beloit, WI (updated name)",27500,27500,Same,,No change.,"Janesville, WI"
"Jefferson City, MO",27620,27620,Same,,No change.,
"Johnson City, TN",27740,27740,Same,,No change.,
"Johnstown, PA",27780,27780,Same,,No change.,
"Jonesboro, AR",27860,27860,Same,,No change.,
"Joplin, MO",27900,27900,Same,,No change.,
"Kalamazoo-Portage, MI",28020,28020,Same,,No change.,
"Kankakee, IL (updated name)",28100,28100,Same,,No change.,"Kankakee-Bradley, IL"
"Kansas City, MO-KS",28140,28140,Same,,One fewer original county.,
"Kennewick-Richland, WA (updated name)",28420,28420,Same,,No change.,"Kennewick-Pasco-Richland, WA"
"Killeen-Temple, TX (updated name)",28660,28660,Same,,No change.,"Killeen-Temple-Fort Hood, TX"
"Kingsport-Bristol-Bristol, TN-VA",28700,28700,Same,,No change.,
"Kingston, NY",28740,28740,Same,,No change.,
"Knoxville, TN",28940,28940,Same,,Four new counties.,
"Kokomo, IN",29020,29020,Same,,One fewer original counties.,
"La Crosse-Onalaska, WI-MN (updated name)",29100,29100,Same,,No change.,"La Crosse, WI-MN"
"Lafayette, LA",29180,29180,Same,,Three new counties.,
